infinitive_form,first_person,second_person,third_person,fourth_person,fifth_person,sixth_person
sprechen,werde gesprochen haben,wirst gesprochen haben,wird gesprochen haben,werden gesprochen haben,werdet gesprochen haben,werden gesprochen haben
gehen,werde gegangen sein,wirst gegangen sein,wird gegangen sein,werden gegangen sein,werdet gegangen sein,werden gegangen sein
machen,werde gemacht haben,wirst gemacht haben,wird gemacht haben,werden gemacht haben,werdet gemacht haben,werden gemacht haben
trinken,werde getrunken haben,wirst getrunken haben,wird getrunken haben,werden getrunken haben,werdet getrunken haben,werden getrunken haben
lesen,werde gelesen haben,wirst gelesen haben,wird gelesen haben,werden gelesen haben,werdet gelesen haben,werden gelesen haben
