infinitive_form,first_person,second_person,third_person,fourth_person,fifth_person,sixth_person
sprechen,hatte gesprochen,hattest gesprochen,hatte gesprochen,hatten gesprochen,hattet gesprochen,hatten gesprochen
gehen,war gegangen,warst gegangen,war gegangen,waren gegangen,wart gegangen,waren gegangen
machen,hatte gemacht,hattest gemacht,hatte gemacht,hatten gemacht,hattet gemacht,hatten gemacht
trinken,hatte getrunken,hattest getrunken,hatte getrunken,hatten getrunken,hattet getrunken,hatten getrunken
lesen,hatte gelesen,hattest gelesen,hatte gelesen,hatten gelesen,hattet gelesen,hatten gelesen
