infinitive_form,first_person,second_person,third_person,fourth_person,fifth_person,sixth_person
sprechen,sprach,sprachst,sprach,sprachen,spracht,sprachen
gehen,ging,gingst,ging,gingen,gingt,gingen
machen,machte,machtest,machte,machten,machtet,machten
trinken,trank,trankst,trank,tranken,trankt,tranken
lesen,las,last,las,lasen,lasest,lasen
